Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
20721,"David, Jacques",1788,1748,1825,Art.West,,25.69,0,France,France,French,0,
2100,"Davis, Marguerite",1914,,,Science,Medi,15.17,0,USA,USA,USA,1,
20724,"Davis, Stuart",1934,1894,1964,Art.West,,1.70,0,USA,USA,USA,0,
2105,"Davis, W.",1890,1850,1934,Science,Eart,11.67,0,USA,USA,USA,0,
2107,"Davisson, Clinton ",1921,1881,1958,Science,Phys,11.05,0,USA,USA,USA,0,
2109,"Davy, Edmund",1825,1785,1851,Science,Chem,1.37,0,Britain,Britain,English,0,
2110,"Davy, Humphrey",1818,1778,1829,Science,Chem,46.05,1,Britain,Britain,English,0,2
2110,"Davy, Humphrey",1818,1778,1829,Science,Tech,18.72,1,Britain,Britain,English,0,2
13053,Dazai Osamu,1948,1909,1948,Lit.Japan,,15.98,0,Japan,Japan,Japanese,0,
2123,"De Forest, Lee",1913,1873,1961,Science,Tech,22.45,0,USA,USA,USA,0,
21446,"De Kooning, Willem",1944,1904,,Art.West,,10.27,0,Netherlands,USA,Dutch,0,
11222,"De la Mare, Walter",1913,1873,1956,Lit.West,,1.67,0,Britain,Britain,English,0,
2131,"De La Rue, Warren",1855,1815,1889,Science,Astr,10.97,0,Britain,Britain,English,0,
2133,"De Morgan, Augustus",1846,1806,1871,Science,Math,9.53,0,Britain,Britain,English,0,
11226,"De Quincey, Thomas ",1825,1785,1859,Lit.West,,4.99,0,Britain,Britain,English,0,
2143,"Debierne, André",1914,1874,1949,Science,Chem,4.70,0,France,France,French,0,
40612,"Debussy, Claude",1902,1862,1918,Music.West,,45.36,0,France,France,French,0,
2145,"Debye, Peter  ",1924,1884,1966,Science,Chem,15.15,0,Netherlands,Netherlands,Dutch,0,
2150,"Dedekind, Richard",1871,1831,1916,Science,Math,23.13,0,Germany,Germany,Germanic,0,
11235,"Defoe, Daniel",1700,1660,1731,Lit.West,,15.09,0,Britain,Britain,English,0,
20739,"Degas, Edgar",1874,1834,1917,Art.West,,30.98,0,France,France,French,0,
11236,"Dehmel, Richard",1903,1863,1920,Lit.West,,3.97,0,Germany,Germany,Germanic,0,
11238,"Dekker, Thomas",1610,1570,1632,Lit.West,,3.16,0,Britain,Britain,English,0,
20741,"Delacroix, Eugene",1838,1798,1863,Art.West,,35.91,0,France,France,French,0,
20742,"Delaroche, Paul",1837,1797,1856,Art.West,,2.01,0,France,France,French,0,
20743,"Delaunay-Terk, Sonia",1925,1885,1979,Art.West,,3.72,0,Russia,France,Jewish,1,
20744,"Delaunay, Robert",1925,1885,1941,Art.West,,8.13,0,France,France,French,0,
2167,"Delbrück, Max ",1946,1906,1981,Science,Biol,11.82,0,Germany,USA,Germanic,0,
11241,"Deledda, Grazia",1911,1871,1936,Lit.West,,3.40,0,Italy,Italy,Italian,1,
40618,"Delibes, Clément",1876,1836,1891,Music.West,,2.39,0,France,France,French,0,
40619,"Delius, Frederick",1902,1862,1934,Music.West,,7.04,0,Germany,Britain,Germanic,0,
40622,"Demantius, Christoph",1607,1567,1643,Music.West,,1.30,0,Czech,Germany,Czech,0,
2180,"Demarcay, Eugène",1892,1852,1903,Science,Chem,4.48,0,France,France,French,0,
2185,Democritus,-420,-460,-370,Science,Phys,32.30,1,Anc Greece,Anc Greece,Ancient Greek,0,2
