Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
10180,'Antarah ibn Shaddad,550,,,Lit.Arabic,,28.70,0,Rome,Arab World,Black,0,
16030,"'Aqqad, 'Abbas Mahmud al-",1929,1889,1964,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
13031,'Umar ibn Abi Rabi'ah,683,643,715,Lit.Arabic,,30.86,0,Arab World,Arab World,Arabic,0,
10043,‘Adi ibn Zaid,630,,,Lit.Arabic,,20.78,0,Arab World,Arab World,Arabic,0,
16026,‘Amr ibn Kulthum,560,,,Lit.Arabic,,14.39,0,Rome,Arab World,Ancient Roman,0,
12254,Abd al- Hamid,1720,,,Lit.Arabic,,8.63,0,Arab World,Arab World,Arabic,0,
16001,Abd al- Rahman ,1690,1650,1706,Lit.Arabic,,11.37,0,Arab World,Arab World,Arabic,0,
11,"Abel, Frederic",1867,1827,1902,Science,Chem,4.06,0,Britain,Britain,English,0,
12,"Abel, John ",1897,1857,1938,Science,Biol,25.05,0,USA,USA,Germanic,0,
13,"Abel, Niels",1829,1802,1829,Science,Math,24.08,0,Norway,Norway,Norwegian,0,
10005,"Abelard, Pierre",1119,1079,1142,Lit.West,,3.65,1,France,France,French,0,2
30002,"Abelard, Pierre",1119,1079,1142,Phil.West,,3.73,1,France,France,French,0,2
10028,Abu al-'Atahiyah,788,748,826,Lit.Arabic,,34.24,0,Arab World,Arab World,Arabic,0,
10016,Abu Bakr al-Khwarismi,975,935,1002,Lit.Arabic,,18.52,0,Arab World,Arab World,Arabic,0,
10020,Abu Firas al-Hamdani,967,932,967,Lit.Arabic,,11.58,0,Arab World,Arab World,Arabic,0,
10021,Abu Hayyan at-Tawhidi,1000,,,Lit.Arabic,,14.16,0,Arab World,Arab World,Arabic,0,
10022,Abu Ishak (Bushak),1410,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10024,Abu Nuwas,800,760,815,Lit.Arabic,,79.18,0,Arab World,Arab World,Arabic,0,
10018,Abu Shafar Ahmad ibn Said,1008,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10025,Abu Tammam,847,807,850,Lit.Arabic,,54.04,0,Arab World,Arab World,Arabic,0,
41,Abül Wafa (Qafa),980,940,998,Science,Math,6.93,0,Arab World,Arab World,Arabic,0,
10029,Abutsu,1275,,,Lit.Japan,,10.71,0,Japan,Japan,Japanese,1,
40009,Adam de la Halle,1284,1244,1285,Music.West,,4.12,0,France,France,French,0,
10037,Adam of St. Victor,1140,,,Lit.West,,2.31,0,France,France,French,0,
40012,Adam von Fulda,1485,1445,1505,Music.West,,1.00,0,Germany,Germany,Germanic,0,
40007,"Adam, Adolphe",1843,1803,1856,Music.West,,2.73,0,France,France,Jewish,0,
20018,"Adam, Robert",1768,1728,1792,Art.West,,11.00,0,Britain,Britain,Scots,0,
54,"Adams, Ansel",1942,1902,1984,Science,Tech,6.23,0,USA,USA,USA,0,
10040,"Adams, Henry",1878,1838,1918,Lit.West,,1.61,0,USA,USA,USA,0,
58,"Adams, John ",1859,1819,1892,Science,Astr,16.08,0,Britain,Britain,English,0,
64,"Adams, Walter ",1916,1876,1956,Science,Astr,26.67,0,USA,USA,USA,0,
10041,"Addison, Joseph",1712,1672,1719,Lit.West,,9.84,0,Britain,Britain,English,0,
66,"Addison, Thomas",1833,1793,1860,Science,Medi,21.83,0,Britain,Britain,English,0,
68,Adelhard of Bath ,1125,,,Science,Math,9.20,0,Britain,Britain,English,0,
10045,"Ady, Endre",1917,1877,1919,Lit.West,,3.24,0,Hungary,Hungary,Hungarian,0,
30031,Aenesidemos,-50,,,Phil.West,,1.25,0,Anc Greece,Anc Greece,Ancient Greek,0,
20028,"Aertsen, Pieter",1548,1508,1575,Art.West,,2.62,0,Netherlands,Netherlands,Dutch,0,
10047,Aeschylus  ,-485,-525,-456,Lit.West,,26.42,0,Anc Greece,Anc Greece,Ancient Greek,0,
10048,Aesop ,-550,,,Lit.West,,7.19,0,Anc Greece,Anc Greece,Ancient Greek,0,
83,"Agassiz, Louis",1847,1807,1873,Science,Eart,37.09,0,Switzerland,USA,French,0,
40017,"Agazzari, Agostino",1618,1578,1640,Music.West,,1.00,0,Italy,Italy,Italian,0,
20032,Agesander,-50,,,Art.West,,,0,Anc Greece,Anc Greece,Ancient Greek,0,
87,Agricola (Georg Bauer),1534,1494,1555,Science,Eart,50.95,0,Germany,Germany,Germanic,0,
40023,"Agricola, Alexander",1486,1446,1506,Music.West,,2.02,0,Belgium,France,Flemish,0,
10061,Ai Qing (Jiang Haicheng),1949,1910,1996,Lit.China,,,0,China,China,Chinese,0,
97,"Aiken, Howard",1940,1900,1973,Science,Tech,12.51,0,USA,USA,USA,0,
99,"Airy, George",1841,1801,1892,Science,Astr,4.87,0,Britain,Britain,English,0,
10068,"Akhmatova, Anna",1929,1889,1966,Lit.West,,4.73,0,Russia,Russia,Slavic,1,
10069,Akhtal,680,640,710,Lit.Arabic,,31.95,0,Arab World,Arab World,Arabic,0,
14399,Akiko ,1918,1878,1941,Lit.Japan,,29.38,0,Japan,Japan,Japanese,1,
10072,"Aksakov, Sergey",1831,1791,1859,Lit.West,,2.91,0,Russia,Russia,Slavic,0,
13515,Akutagawa Ryunosuke,1927,1892,1927,Lit.Japan,,40.14,0,Japan,Japan,Japanese,0,
10326,al- Balami,960,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10791,al- Busiri,1252,1212,1298,Lit.Arabic,,15.93,0,Arab World,Arab World,Arabic,0,
16018,al- Hutay’ah,665,,,Lit.Arabic,,10.60,0,Arab World,Arab World,Arabic,0,
12284,al- Khansa’,620,,,Lit.Arabic,,18.05,0,Arab World,Arab World,Arabic,1,
12907,al- Muwailihi,1898,1858,1930,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
13504,al- Rusafi,1915,1875,1945,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
16022,al- Shanfara,550,,,Lit.Arabic,,14.57,0,Rome,Arab World,Ancient Roman,0,
14252,al- Walid ibn Yazid [II],730,,,Lit.Arabic,,15.08,0,Arab World,Arab World,Arabic,0,
10249,al-A’sha,630,,,Lit.Arabic,,12.44,0,Arab World,Arab World,Arabic,0,
16017,al-Buhturi,861,821,897,Lit.Arabic,,42.92,0,Arab World,Arab World,Arabic,0,
11476,al-Farazdaq,681,641,730,Lit.Arabic,,44.31,0,Arab World,Arab World,Arabic,0,
30675,"al-Ghazzali, Algazel",1098,1058,1111,Phil.West,,3.87,0,Arab World,Arab World,Arabic,0,
11854,"al-Hallaj, Husayn ibn Mansur",898,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
11859,al-Hamadhani,1007,969,1007,Lit.Arabic,,48.91,0,Arab World,Arab World,Arabic,0,
11879,al-Hariri,1022,,,Lit.Arabic,,50.47,0,Arab World,Arab World,Arabic,0,
4424,"al-Khwarizmi, Abu Ja’far ",840,800,850,Science,Math,23.92,0,Arab World,Arab World,Arabic,0,
30927,al-Kindi,841,801,866,Phil.West,,2.93,0,Arab World,Arab World,Arabic,0,
10027,al-Ma’arri,1013,973,1057,Lit.Arabic,,73.16,0,Arab World,Arab World,Arabic,0,
12905,al-Mutanabbi,955,915,965,Lit.Arabic,,100.00,0,Arab World,Arab World,Arabic,0,
9077,al-Zarqali (Arzachel),1070,,,Science,Astr,7.21,0,Spain,Spain,Spanish,0,
10074,Alain-Fournier (Fournier),1914,1886,1914,Lit.West,,2.10,0,France,France,French,0,
10076,"Alarcón, Pedro de",1873,1833,1891,Lit.West,,5.61,0,Spain,Spain,Spanish,0,
20036,"Albani, Francesco",1618,1578,1660,Art.West,,1.43,0,Italy,Italy,Italian,0,
110,Albategnius (al-Battani),898,858,929,Science,Math,4.26,0,Arab World,Arab World,Arabic,0,
40038,"Albéniz, Isaac",1900,1860,1909,Music.West,,3.62,0,Spain,Spain,Spanish,0,
20037,"Albers, Joseph",1928,1888,1976,Art.West,,4.00,0,Germany,USA,Germanic,0,
40041,"Albert, Heinrich",1644,1604,1651,Music.West,,1.56,0,Germany,Germany,Germanic,0,
40042,"Alberti, Domenico",1740,1710,1740,Music.West,,1.00,0,Italy,Italy,Italian,0,
114,"Alberti, Friedrich von",1835,1795,1878,Science,Eart,8.40,0,Germany,Germany,Germanic,0,
115,"Alberti, Leon Battista",1444,1404,1472,Science,Tech,20.25,0,Italy,Italy,Italian,0,
10079,"Alberti, Rafael",1942,1902,,Lit.West,,2.74,0,Spain,Spain,Spanish,0,
117,"Albertus Magnus, St.",1240,1200,1280,Science,Chem,17.28,1,Germany,Germany,Germanic,0,2
30047,"Albertus Magnus, St.",1240,1200,1280,Phil.West,,4.47,1,Germany,Germany,Germanic,0,2
40046,"Albinoni, Tommaso",1711,1671,1751,Music.West,,2.73,0,Italy,Italy,Italian,0,
126,Alcmaeon,520,,,Science,Medi,5.20,0,Anc Greece,Anc Greece,Ancient Greek,0,
10084,Alcman of Sardes,-650,,,Lit.West,,2.49,0,Anc Greece,Anc Greece,Ancient Greek,0,
10087,Alcuin,775,735,804,Lit.West,,3.42,0,Britain,Britain,English,0,
131,"Alder, Kurt",1942,1902,1958,Science,Chem,5.50,0,Germany,Germany,Germanic,0,
10096,"Alemán, Mateo",1587,1547,1610,Lit.West,,4.74,0,Spain,Spain,Spanish,0,
30057,Alexander of Hales,1240,,,Phil.West,,0.74,0,Britain,Britain,English,0,
40058,"Alfano, Franco",1915,1875,1954,Music.West,,1.43,0,Italy,Italy,Italian,0,
10103,"Alfieri, Vittorio",1789,1749,1803,Lit.West,,11.23,0,Italy,Italy,Italian,0,
40059,Alfonso X of Castile,1261,1221,1284,Music.West,,1.43,0,Spain,Spain,Spanish,0,
145,"Alfvén, Hannes Olof",1948,1908,1995,Science,Phys,5.45,0,Sweden,Sweden,Swedish,0,
20051,"Algardi, Alessandro",1629,1589,1654,Art.West,,3.32,0,Italy,Italy,Italian,0,
3658,Alhazen (ibn al-Haytham),1005,965,1040,Science,Phys,26.61,0,Arab World,Arab World,Arabic,0,
150,"Allbutt, Thomas",1876,1836,1925,Science,Medi,10.08,0,Britain,Britain,English,0,
10123,"Almquist, Carl",1833,1793,1866,Lit.West,,3.91,0,Sweden,Sweden,Swedish,0,
162,"Alpini, Prospero",1593,1553,1616,Science,Biol,6.78,0,Italy,Italy,Italian,0,
20061,"Altdorfer, Albrecht",1520,1480,1538,Art.West,,13.09,0,Germany,Germany,Germanic,0,
20062,Altichiero da Zevio,1380,,,Art.West,,3.50,0,Italy,Italy,Italian,0,
10133,Amaru,600,,,Lit.India,,10.65,0,India,India,Indian,0,
175,"Ambartsumian, Viktor",1948,1908,,Science,Astr,5.34,0,Russia,Russia,Slavic,0,
10135,"Ambrose of Milan, St.",379,339,397,Lit.West,,3.57,1,Rome,Rome,Ancient Roman,0,2
30072,"Ambrose of Milan, St.",379,339,397,Phil.West,,3.14,1,Rome,Rome,Ancient Roman,0,2
182,"Amici, Giovanni Battista",1826,1786,1863,Science,Biol,2.87,1,Italy,Italy,Italian,0,2
182,"Amici, Giovanni Battista",1826,1786,1863,Science,Tech,16.17,1,Italy,Italy,Italian,0,2
20075,"Ammanati, Bartolommeo",1551,1511,1592,Art.West,,3.85,0,Italy,Italy,Italian,0,
30076,Ammonius Sakkas,215,175,242,Phil.West,,1.89,0,Rome,Rome,Ancient Roman,0,
186,"Amontons, Guillaume",1703,1663,1705,Science,Phys,15.11,0,France,France,French,0,
187,"Ampère, André",1815,1775,1836,Science,Phys,26.36,0,France,France,French,0,
10146,Anacreon of Teos,-540,,,Lit.West,,8.15,0,Anc Greece,Anc Greece,Ancient Greek,0,
10147,"Anand, Mulk Raj",1945,1905,,Lit.India,,,0,India,India,Indian,0,
194,Anaxagoras of Clazomenae,-460,-500,-428,Science,Science,,1,Anc Greece,Anc Greece,Ancient Greek,0,2
30082,Anaxagoras of Clazomenae,-460,-500,-428,Phil.West,,5.19,1,Anc Greece,Anc Greece,Ancient Greek,0,2
30085,Anaximander of Miletus,-571,-611,-547,Phil.West,,3.87,0,Anc Greece,Anc Greece,Ancient Greek,0,
196,Anaximander the Elder,-571,-611,-547,Science,Astr,9.20,0,Anc Greece,Anc Greece,Ancient Greek,0,
30086,Anaximenes of Miletus,-500,,,Phil.West,,3.53,0,Anc Greece,Anc Greece,Ancient Greek,0,
10151,"Andersen, Hans ",1845,1805,1875,Lit.West,,9.96,0,Denmark,Denmark,Danish,0,
201,"Anderson, Carl ",1945,1905,1991,Science,Phys,22.71,0,USA,USA,USA,0,
10154,"Anderson, Sherwood",1916,1876,1941,Lit.West,,2.19,0,USA,USA,USA,0,
21206,Ando Hiroshige (Ichiryusai),1837,1797,1858,Art.Japan,,40.43,0,Japan,Japan,Japanese,0,
10157,"Andrade, Mario de",1933,1893,1945,Lit.West,,0.77,0,Latin Am,Latin Am,Latino,0,
20081,Andrea del Castagno,1457,1423,1457,Art.West,,9.78,0,Italy,Italy,Italian,0,
20082,Andrea del Sarto,1526,1486,1530,Art.West,,8.38,0,Italy,Italy,Italian,0,
220,"Andrews, Thomas",1853,1813,1885,Science,Chem,7.31,0,Britain,Britain,Irish,0,
10162,"Andreyev, Leonid",1911,1871,1919,Lit.West,,5.42,0,Russia,Russia,Slavic,0,
10164,"Andric, Ivo",1932,1892,,Lit.West,,2.96,0,Balkans,Balkans,Slavic,0,
10166,"Andrzejewski, Jerzy",1949,1909,1983,Lit.West,,1.72,0,Poland,Poland,Polish,0,
40081,"Anerio, Felice",1600,1560,1614,Music.West,,1.51,0,Italy,Italy,Italian,0,
40082,"Anerio, Giovanni ",1607,1567,1630,Music.West,,1.66,0,Italy,Italy,Italian,0,
20084,Angelico (di Pietro),1435,1395,1455,Art.West,,21.16,0,Italy,Italy,Italian,0,
10168,Angelus Silesius (Scheffler),1664,1624,1677,Lit.West,,2.84,0,Germany,Germany,Germanic,0,
230,"Angström, Anders",1854,1814,1874,Science,Phys,4.64,0,Sweden,Sweden,Swedish,0,
40084,"Animuccia, Giovanni",1540,1500,1571,Music.West,,1.11,0,Italy,Italy,Italian,0,
10174,"Anouilh, Jean",1949,1910,1987,Lit.West,,7.23,0,France,France,French,0,
234,"Anschutz-Kämpfer, Hermann",1912,1872,1931,Science,Tech,7.63,0,Germany,Germany,Germanic,0,
30094,Anselm of Canterbury,1073,1033,1109,Phil.West,,5.99,0,Italy,Britain,Italian,0,
30104,Antiphon of Athens,-450,,,Phil.West,,0.61,0,Anc Greece,Anc Greece,Ancient Greek,0,
30105,Antisthenes of Athens,-404,-444,-371,Phil.West,,1.11,0,Anc Greece,Anc Greece,Ancient Greek,0,
20098,Antonello da Messina,1470,1430,1479,Art.West,,9.13,0,Italy,Italy,Italian,0,
10186,Anwari ,1150,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10187,"Anzengruber, Karl",1879,1839,1889,Lit.West,,0.74,0,Austria,Austria,Germanic,0,
21897,Aoki Mokubei,1807,1767,1833,Art.Japan,,13.13,0,Japan,Japan,Japanese,0,
20100,Apelles of Kos,-350,,,Art.West,,,0,Anc Greece,Anc Greece,Ancient Greek,0,
247,"Apian, Peter (Bennewitz)",1535,1495,1552,Science,Astr,8.90,0,Germany,Germany,Germanic,0,
10188,"Apollinaire, Guillaume",1918,1880,1918,Lit.West,,14.90,0,Poland,France,Polish,0,
20102,Apollodorus of Athens,-450,,,Art.West,,,0,Anc Greece,Anc Greece,Ancient Greek,0,
10189,Apollonius of Alexandria,-250,,,Lit.West,,6.27,0,Anc Greece,Anc Greece,Ancient Greek,0,
248,Apollonius of Perga,-240,,,Science,Math,30.62,0,Anc Greece,Anc Greece,Ancient Greek,0,
30111,Apollonius of Tyana,-80,,,Phil.West,,1.05,0,Anc Greece,Anc Greece,Ancient Greek,0,
252,"Appert, Nicolas",1790,1750,1841,Science,Tech,23.59,0,France,France,French,0,
254,"Appleton, Edward",1932,1892,1965,Science,Phys,7.71,0,Britain,Britain,English,0,
10192,Apuleius,150,,,Lit.West,,7.28,0,Rome,Rome,Ancient Roman,0,
30115,"Aquinas, Thomas",1266,1226,1274,Phil.West,,39.04,0,Italy,Italy,Italian,0,
257,"Arago, Dominique",1826,1786,1853,Science,Phys,35.76,0,France,France,French,0,
10196,"Aragon, Louis",1937,1897,1983,Lit.West,,5.68,0,France,France,French,0,
10197,Arai Hakuseki,1697,1657,1725,Lit.Japan,,8.63,0,Japan,Japan,Japanese,0,
40096,"Arcadelt, Jacques",1545,1505,1567,Music.West,,3.24,0,France,Italy,French,0,
30121,Arcesilaus of Pitane,-276,-316,-240,Phil.West,,1.08,0,Anc Greece,Anc Greece,Ancient Greek,0,
10204,Archilochos of Paros,-700,,,Lit.West,,5.61,0,Anc Greece,Anc Greece,Ancient Greek,0,
270,Archimedes,-247,-287,-212,Science,Math,33.12,1,Anc Greece,Anc Greece,Ancient Greek,0,3
270,Archimedes,-247,-287,-212,Science,Phys,20.44,1,Anc Greece,Anc Greece,Ancient Greek,0,3
270,Archimedes,-247,-287,-212,Science,Tech,51.14,1,Anc Greece,Anc Greece,Ancient Greek,0,3
20113,"Archipenko, Alexander",1927,1887,1964,Art.West,,4.14,0,Russia,France,Slavic,0,
271,Archytas of Tarentum,-390,-430,-348,Science,Math,7.68,0,Anc Greece,Anc Greece,Ancient Greek,0,
40099,"Arensky, Anton",1901,1861,1906,Music.West,,1.00,0,Russia,Russia,Slavic,0,
10209,"Aretino, Pietro",1532,1492,1557,Lit.West,,5.94,0,Italy,Italy,Italian,0,
278,"Arfvedson, Johann",1832,1792,1841,Science,Chem,4.72,0,Sweden,Sweden,Swedish,0,
281,"Argand, Jean",1808,1768,1822,Science,Math,7.14,0,Switzerland,France,French,0,
282,"Argelander, Friedrich",1839,1799,1875,Science,Astr,7.60,0,Germany,Germany,Finnish,0,
40100,"Ariosti, Attilio",1706,1666,1730,Music.West,,1.03,0,Italy,Italy,Italian,0,
10218,"Ariosto, Ludovico",1514,1474,1533,Lit.West,,22.27,0,Italy,Italy,Italian,0,
14453,Arishima Takeo,1918,1878,1923,Lit.Japan,,26.88,0,Japan,Japan,Japanese,0,
289,Aristarchus of Samos,-270,,,Science,Astr,27.61,0,Anc Greece,Anc Greece,Ancient Greek,0,
30128,Aristippus of Cyrene,-435,,,Phil.West,,1.44,0,Anc Greece,Anc Greece,Ancient Greek,0,
10219,Aristophanes,-408,-448,-385,Lit.West,,19.99,0,Anc Greece,Anc Greece,Ancient Greek,0,
290,Aristotle,-344,-384,-322,Science,Biol,93.78,1,Anc Greece,Anc Greece,Ancient Greek,0,2
30135,Aristotle,-344,-384,-322,Phil.West,,100.00,1,Anc Greece,Anc Greece,Ancient Greek,0,2
12922,Ariwara Narihira,866,826,888,Lit.Japan,,42.95,0,Japan,Japan,Japanese,0,
295,"Arkwright, Richard",1772,1732,1792,Science,Tech,26.94,0,Britain,Britain,English,0,
297,"Armstrong, Edwin ",1930,1890,1954,Science,Tech,25.37,0,USA,USA,USA,0,
301,"Armstrong, William ",1850,1810,1900,Science,Tech,9.53,0,Britain,Britain,English,0,
11190,Arnaut Daniel ,1180,,,Lit.West,,2.89,0,France,France,French,0,
40106,"Arne, Thomas",1750,1710,1778,Music.West,,2.98,0,Britain,Britain,English,0,
10229,"Arnim, Achim von",1821,1781,1831,Lit.West,,6.36,0,Germany,Germany,Germanic,0,
10232,"Arnold, Matthew",1862,1822,1888,Lit.West,,7.67,0,Britain,Britain,English,0,
20124,Arnolfo di Cambio,1300,,,Art.West,,10.47,0,Italy,Italy,Italian,0,
20125,"Arp, Jean (Hans)",1927,1887,1966,Art.West,,6.79,0,Germany,France,Germanic,0,
313,"Arrhenius, Svante ",1899,1859,1927,Science,Chem,13.99,0,Sweden,Sweden,Swedish,0,
319,"Artin, Emil",1938,1898,1962,Science,Math,1.89,0,Czech,USA,Czech,0,
321,Aryabhata I,500,,,Science,Math,16.03,0,India,India,Indian,0,
30150,Aryadeva,200,,,Phil.India,,5.18,0,India,India,Indian,0,
23124,Asahi Chu,1896,1856,1907,Art.Japan,,6.23,0,Japan,Japan,Japanese,0,
20128,"Asam, Cosmas",1726,1686,1739,Art.West,,1.86,0,Germany,Germany,Germanic,0,
30151,Asanga,310,,,Phil.India,,8.88,0,India,India,Indian,0,
325,"Aselli, Gasparo",1621,1581,1625,Science,Medi,9.77,0,Italy,Italy,Italian,0,
338,"Aspdin, Joseph",1839,1799,1855,Science,Tech,11.01,0,Britain,Britain,English,0,
341,"Astbury, William",1939,1899,1961,Science,Phys,4.97,0,Britain,Britain,English,0,
342,"Aston, Francis ",1917,1877,1945,Science,Chem,19.48,0,Britain,Britain,English,0,
10255,"Asturias, Miguel",1939,1899,1974,Lit.West,,1.81,0,Latin Am,Latin Am,Latino,0,
10256,Asvaghosa,160,120,162,Lit.India,,29.50,1,India,India,Indian,0,2
30154,Asvaghosa,160,120,162,Phil.India,,6.29,1,India,India,Indian,0,2
344,"Atanasoff, John",1943,1903,,Science,Phys,4.90,0,USA,USA,Bulgarian,0,
20137,Athanodorus,-50,,,Art.West,,,0,Anc Greece,Anc Greece,Ancient Greek,0,
10262,"Atterbom, Daniel",1830,1790,1855,Lit.West,,3.83,0,Sweden,Sweden,Swedish,0,
40119,"Auber, Daniel",1822,1782,1871,Music.West,,5.32,0,France,France,French,0,
10265,"Aubigné, Théodore d’",1591,1551,1630,Lit.West,,2.90,0,Spain,France,Spanish,0,
10267,"Auden, W.H.",1947,1907,1973,Lit.West,,6.44,0,Britain,USA,English,0,
354,"Audubon, James",1825,1785,1851,Science,Biol,7.64,0,USA,USA,French,0,
355,"Auenbrugger, Leopold",1762,1722,1809,Science,Medi,19.76,0,Austria,Austria,Germanic,0,
356,"Auer, Karl",1898,1858,1929,Science,Chem,7.81,1,Austria,Austria,Germanic,0,2
356,"Auer, Karl",1898,1858,1929,Science,Tech,8.57,1,Austria,Austria,Germanic,0,2
10269,"Auerbach, Berthold",1852,1812,1882,Lit.West,,2.08,0,Germany,Germany,Jewish,0,
10272,"Augustine, St.",394,354,430,Lit.West,,15.69,1,Rome,Rome,Ancient Roman,0,2
30162,"Augustine, St.",394,354,430,Phil.West,,30.37,1,Rome,Rome,Ancient Roman,0,2
40126,"Auric, Georges",1939,1899,1983,Music.West,,2.37,0,France,France,French,0,
11669,"Aurobindo, Sri (Ghose)",1912,1872,1950,Lit.India,,,1,India,India,Indian,0,2
30164,"Aurobindo, Sri (Ghose)",1912,1872,1950,Phil.India,,12.99,1,India,India,Indian,0,2
10277,"Ausonius, Decius",349,309,392,Lit.West,,3.03,0,Rome,Rome,Ancient Roman,0,
10278,"Austen, Jane",1815,1775,1817,Lit.West,,8.64,0,Britain,Britain,English,1,
366,Averroës (ibn Rushd),1166,1126,1198,Science,Science,,1,Spain,Spain,Spanish,0,2
30168,Averroës (ibn Rushd),1166,1126,1198,Phil.West,,11.15,1,Spain,Spain,Spanish,0,2
367,"Avery, Oswald",1917,1877,1955,Science,Biol,22.01,0,Canada,USA,Canadian,0,
30169,Avicebron (ibn Gabirol),1058,1021,1058,Phil.West,,1.76,0,Spain,Spain,Jewish,0,
7620,Avicenna (ibn Sina),1020,980,1037,Science,Science,,1,Arab World,Arab World,Arabic,0,2
31421,Avicenna (ibn Sina),1020,980,1037,Phil.West,,14.82,1,Arab World,Arab World,Arabic,0,2
368,"Avogadro, Amedeo",1816,1776,1856,Science,Phys,22.98,0,Italy,Italy,Italian,0,
30170,"Ayer, Alfred",1949,1910,,Phil.West,,3.55,0,Britain,Britain,Jewish,0,
13075,Ba Jin (Li Feigan),1944,1904,,Lit.China,,,0,China,China,Chinese,0,
375,"Baade, Walter",1933,1893,1960,Science,Astr,46.50,0,Germany,USA,Germanic,0,
377,"Babbage, Charles",1832,1792,1871,Science,Tech,32.59,0,Britain,Britain,English,0,
10300,"Babel, Isaak",1934,1894,1941,Lit.West,,4.33,0,Russia,Russia,Jewish,0,
10304,Bacchylides of Ceos,-484,-524,-450,Lit.West,,2.48,0,Anc Greece,Anc Greece,Ancient Greek,0,
40136,"Bach, C.P.E.",1754,1714,1788,Music.West,,14.70,0,Germany,Germany,Germanic,0,
40137,"Bach, J. Christian",1775,1735,1782,Music.West,,8.98,0,Germany,Britain,Germanic,0,
40138,"Bach, J. Christoph",1682,1642,1703,Music.West,,2.01,0,Germany,Germany,Germanic,0,
40141,"Bach, Johann Sebastian",1725,1685,1750,Music.West,,86.66,0,Germany,Germany,Germanic,0,
40142,"Bach, Wilhelm",1750,1710,1784,Music.West,,2.56,0,Germany,Germany,Germanic,0,
401,"Bacon, Francis",1601,1561,1626,Science,Science,,1,Britain,Britain,English,0,3
10306,"Bacon, Francis",1601,1561,1626,Lit.West,,11.44,1,Britain,Britain,English,0,3
30174,"Bacon, Francis",1601,1561,1626,Phil.West,,12.19,1,Britain,Britain,English,0,3
20154,"Bacon, Francis (artist)",1949,1909,1992,Art.West,,9.58,0,Britain,Britain,English,0,
402,"Bacon, Roger",1254,1214,1292,Science,Science,,1,Britain,Britain,English,0,2
30175,"Bacon, Roger",1254,1214,1292,Phil.West,,3.59,1,Britain,Britain,English,0,2
22043,Bada Shanren (Zhu Da),1666,1626,1705,Art.China,,39.42,0,China,China,Chinese,0,
30176,Badarayana,390,350,400,Phil.India,,6.14,0,India,India,Indian,0,
40146,"Badings, Henk",1947,1907,1987,Music.West,,1.31,0,Netherlands,Netherlands,Dutch,0,
405,"Baekeland, Leo",1903,1863,1944,Science,Chem,7.87,1,Belgium,USA,Flemish,0,2
405,"Baekeland, Leo",1903,1863,1944,Science,Tech,16.08,1,Belgium,USA,Flemish,0,2
406,"Baer, Karl von",1832,1792,1876,Science,Biol,43.12,0,Germany,Germany,Germanic,0,
407,"Baeyer, Johann von",1875,1835,1917,Science,Chem,7.52,0,Germany,Germany,Jewish,0,
10310,"Baggesen, Jens",1804,1764,1826,Lit.West,,1.15,0,Denmark,Denmark,Danish,0,
10314,"Bahr, Hermann",1903,1863,1934,Lit.West,,2.61,0,Austria,Austria,Germanic,0,
425,"Baily, Francis",1814,1774,1844,Science,Astr,6.26,0,Britain,Britain,English,0,
429,"Baird, John",1928,1888,1946,Science,Tech,12.67,0,Britain,Britain,Scots,0,
40150,"Balakirev, Mily",1877,1837,1910,Music.West,,5.80,0,Russia,Russia,Slavic,0,
446,"Balard, Antoine",1842,1802,1876,Science,Chem,6.19,0,France,France,French,0,
20164,"Baldung, Hans (Grien)",1524,1484,1545,Art.West,,4.07,0,Germany,Germany,Germanic,0,
20167,"Balla, Giacomo",1911,1871,1958,Art.West,,5.20,0,Italy,Italy,Italian,0,
465,"Balmer, Johann",1865,1825,1898,Science,Phys,8.28,0,Switzerland,Switzerland,Germanic,0,
10340,"Balmont, Konstantin",1907,1867,1943,Lit.West,,2.48,0,Russia,Russia,Slavic,0,
10341,"Balzac, Honoré de ",1839,1799,1850,Lit.West,,30.04,0,France,France,French,0,
14651,Ban Gu,79,39,92,Lit.China,,37.16,0,China,China,Chinese,0,
15071,Banabhatta,630,,,Lit.India,,20.95,0,India,India,Indian,0,
468,"Banach, Stefan",1932,1892,1945,Science,Math,7.45,0,Poland,Poland,Polish,0,
40155,"Banchieri, Adriano",1607,1567,1634,Music.West,,2.60,0,Italy,Italy,Italian,0,
10347,"Bandello, Matteo",1525,1485,1561,Lit.West,,4.19,0,Italy,Italy,Italian,0,
10348,"Banerji, Bibhutibushan",1934,1894,1950,Lit.India,,,0,India,India,Indian,0,
10349,"Bang, Hermann ",1897,1857,1912,Lit.West,,5.60,0,Denmark,Denmark,Danish,0,
476,"Banting, Frederick",1931,1891,1941,Science,Medi,26.72,0,Canada,Canada,Canadian,0,
