"job_code":"hours"
"Administrative":"21.13"
"Building20Atbuilding":"1.5"
"Building20Departthebuilding":"0.34"
"Building20Surfaces":"1.36"
"Building20Trash":"1.53"
"Building20Vacuum":"1.29"
"Building20Walk-through":"0.49"
"Building556Atbuilding":"0.55"
"Building556Departthebuilding":"0.4"
"Building556Kitchen":"0.21"
"Building556Restroom:Men's":"0.2"
"Building556Restroom:Women's":"0.47"
"Building556Surfaces":"0.25"
"Building556Walk-through":"0.38"
"Building583Trash":"0.14"
"CleaningTechnician":"9.58"
"Clockin":"9.67"
"HackerDojoAtbuilding":"0.12"
"HackerDojoDepartthebuilding":"0.27"
"HackerDojoFloors(lobby&greenarea)":"0.26"
"HackerDojoKitchen":"0.63"
"HackerDojoVacuum":"0.08"
"HackerDojoWalk-through":"1.52"
"HomeAtbuilding":"0.61"
"HomeRestroom:Men's":"0"
"HomeRestroom:Women's":"0.28"
"ShiftTotal":"1.75"
"Travel":"1.79"
